Player,Age,Team,Season,Minutes,PSxG +/- per 90,Crosses Stopped % per 90,Def Actions Outside Penalty Area per 90,Goals Against per 90,Rating
Rachael Laws,32,Liverpool,2023-24,1350,0.71,0.06,0.13,1.2,4.39
Teagan Micah,25,Liverpool,2023-24,630,0.74,0.03,0.04,1.43,1.99
Khiara Keating,19,Manchester City,2023-24,1980,0.98,0.06,0.23,0.68,9.08
Mary Earps,30,Manchester United,2023-24,1980,0.72,0.04,0.25,1.45,6.74
Rebecca Spencer,32,Tottenham,2023-24,1440,0.65,0.08,0.06,1.69,4.22
Barbora Votíková,26,Tottenham,2023-24,540,0.81,0.1,0.12,1.5,1.92
Mackenzie Arnold,29,West Ham United,2023-24,1710,0.52,0.08,0.26,2.11,4.43
Megan Walsh,28,West Ham United,2023-24,270,0.49,0.2,0.25,1.67,0.56
Manuela Zinsberger,26,Arsenal,2022-23,1620,0.62,0.06,0.41,0.67,6.31
Sabrina D'Angelo,29,Arsenal,2022-23,360,0.64,0.42,0.09,1.0,1.36
Hannah Hampton,21,Aston Villa,2022-23,1350,0.44,0.12,0.22,1.87,3.71
Anna Leat,21,Aston Villa,2022-23,630,0.44,0.12,0.05,1.29,1.52
Megan Walsh,27,Brighton and Hove Albion,2022-23,1350,0.22,0.09,0.27,2.8,2.07
Lydia Williams,34,Brighton and Hove Albion,2022-23,630,0.24,0.03,0.42,3.0,0.99
Ann-Katrin Berger,31,Chelsea,2022-23,1350,0.67,0.12,0.12,0.6,5.27
Zećira Mušović,26,Chelsea,2022-23,630,0.67,0.26,0.32,0.86,2.62
Courtney Brosnan,26,Everton,2022-23,1260,0.36,0.19,0.51,1.86,3.43
Emily Ramsey,21,Everton,2022-23,720,0.78,0.1,0.37,1.25,3.37
Janina Leitzig,23,Leicester City,2022-23,1170,0.64,0.22,0.12,1.77,4.5
Kirstie Levell,25,Leicester City,2022-23,630,0.22,0.1,0.11,2.29,0.78
Rachael Laws,31,Liverpool,2022-23,1530,0.34,0.06,0.2,1.59,3.24
Faye Kirby,22,Liverpool,2022-23,270,0.0,0.37,0.12,2.0,0.0
Ellie Roebuck,22,Manchester City,2022-23,1481,0.46,0.11,0.25,1.09,4.27
Sandy MacIver,24,Manchester City,2022-23,270,0.44,0.0,0.74,0.67,0.72
Mary Earps,29,Manchester United,2022-23,1980,0.59,0.04,0.25,0.55,7.01
Grace Moloney,29,Reading,2022-23,1101,0.29,0.07,0.12,3.11,1.89
Jackie Burns,25,Reading,2022-23,874,0.37,0.11,0.19,1.96,1.94
Tinja-Riikka Korpela,36,Tottenham,2022-23,990,0.42,0.09,0.24,2.09,2.55
Rebecca Spencer,31,Tottenham,2022-23,990,0.34,0.03,0.03,2.18,1.79
Mackenzie Arnold,28,West Ham United,2022-23,1789,0.51,0.07,0.19,1.76,5.46
Manuela Zinsberger,25,Arsenal,2021-22,1800,0.71,0.07,0.15,0.5,6.94
Hannah Hampton,20,Aston Villa,2021-22,1773,0.57,0.12,0.07,1.57,5.52
Emily Ramsey,20,Birmingham City,2021-22,1285,0.4,0.12,0.08,2.24,2.87
Marie Hourihan,34,Birmingham City,2021-22,630,0.26,0.14,0.08,2.43,0.89
Megan Walsh,26,Brighton and Hove Albion,2021-22,1800,0.44,0.07,0.29,1.85,4.69
Ann-Katrin Berger,30,Chelsea,2021-22,1188,0.84,0.2,0.07,0.61,5.48
Zećira Mušović,25,Chelsea,2021-22,788,0.74,0.05,0.24,0.34,3.16
Sandy MacIver,23,Everton,2021-22,1620,0.36,0.05,0.26,1.89,3.44
Courtney Brosnan,25,Everton,2021-22,360,0.56,0.23,0.19,1.75,1.1
Demi Lambourne,25,Leicester City,2021-22,1260,0.44,0.1,0.22,2.29,3.2
Kirstie Levell,24,Leicester City,2021-22,630,0.28,0.14,0.38,2.57,1.15
Karima Benameur,32,Manchester City,2021-22,900,0.29,0.08,0.11,1.8,1.42
Ellie Roebuck,21,Manchester City,2021-22,896,0.79,0.29,0.19,0.3,4.08
Mary Earps,28,Manchester United,2021-22,1980,0.59,0.05,0.15,1.0,6.39
Grace Moloney,28,Reading,2021-22,1754,0.58,0.02,0.13,1.64,5.48
Tinja-Riikka Korpela,35,Tottenham,2021-22,990,0.4,0.07,0.05,1.36,2.1
Rebecca Spencer,30,Tottenham,2021-22,990,0.53,0.01,0.1,0.73,2.74
Mackenzie Arnold,27,West Ham United,2021-22,1620,0.53,0.13,0.29,1.67,5.11
Anna Leat,20,West Ham United,2021-22,360,0.98,0.55,0.24,0.75,2.05
Manuela Zinsberger,24,Arsenal,2020-21,1170,0.62,0.02,0.28,0.77,5.57
Lydia Williams,32,Arsenal,2020-21,810,0.57,0.09,0.28,0.56,3.65
Lisa Weiß,32,Aston Villa,2020-21,1890,0.41,0.08,0.48,2.14,7.01
Hannah Hampton,19,Birmingham City,2020-21,1890,0.47,0.08,0.2,2.1,7.09
Megan Walsh,25,Brighton and Hove Albion,2020-21,1350,0.42,0.02,0.33,1.73,4.61
Cecilie Fiskerstrand,24,Brighton and Hove Albion,2020-21,630,0.14,0.09,0.32,2.14,0.87
Sophie Baggaley,23,Bristol City,2020-21,1890,0.24,0.06,0.39,3.24,4.37
Ann-Katrin Berger,29,Chelsea,2020-21,1530,0.7,0.11,0.33,0.41,8.59
Carly Telford,33,Chelsea,2020-21,270,0.55,1.0,0.39,1.0,1.56
Sandy MacIver,22,Everton,2020-21,1548,0.41,0.03,0.39,1.45,5.37
Tinja-Riikka Korpela,34,Everton,2020-21,432,0.78,0.14,0.31,1.04,2.56
Ellie Roebuck,20,Manchester City,2020-21,1800,0.57,0.01,0.54,0.65,8.65
Mary Earps,27,Manchester United,2020-21,1980,0.64,0.01,0.28,0.91,9.75
